time,tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence
33,BBDD,448,3,42,2,48093,448,2,389,0
34,BBEE,90,1,42,3,48110,90,1,55,0
34,BBFF,183,2,42,3,48127,183,1,58,0
34,CC22,498,3,42,3,52258,498,2,366,6
35,BBEE,89,1,42,4,48110,89,1,56,0
35,BBFF,184,2,42,4,48127,184,1,59,0
35,CC33,251,3,42,4,52275,251,4,175,1
35,BBDD,448,4,42,4,48093,448,2,390,0
35,BBCC,242,5,42,4,48076,242,4,194,0
36,BBEE,102,1,42,5,48110,102,1,57,0
36,BBFF,190,2,42,5,48127,190,1,60,0
36,CC22,490,3,42,5,52258,490,2,367,6
37,BBEE,121,1,42,6,48110,121,1,58,0
37,BBFF,184,2,42,6,48127,184,1,61,0
37,BBDD,442,3,42,6,48093,442,2,391,0
38,BBEE,136,1,42,7,48110,136,1,59,0
38,BBFF,181,2,42,7,48127,181,1,62,0
38,CC22,494,3,42,7,52258,494,2,368,6
39,BBEE,138,1,42,8,48110,138,1,60,0
39,BBFF,181,2,42,8,48127,181,1,63,0
39,CC66,210,3,42,8,52326,210,3,91,11
39,CC33,247,4,42,8,52275,247,4,176,1
39,BBDD,446,5,42,8,48093,446,2,392,0
39,BBCC,241,6,42,8,48076,241,4,195,0
40,BBEE,143,1,42,9,48110,143,1,61,0
40,BBFF,186,2,42,9,48127,186,1,64,0
40,CC22,492,3,42,9,52258,492,2,369,6
41,BBEE,151,1,42,10,48110,151,1,62,0
41,BBFF,181,2,42,10,48127,181,1,65,0
41,BBDD,453,3,42,10,48093,453,2,393,0
42,BBEE,163,1,42,11,48110,163,1,63,0
42,BBFF,181,2,42,11,48127,181,1,66,0
42,CC22,496,3,42,11,52258,496,2,370,6
43,BBEE,179,1,42,12,48110,179,1,64,0
43,BBFF,187,2,42,12,48127,187,1,67,0
43,CC33,233,3,42,12,52275,233,4,177,1
43,BBDD,448,4,42,12,48093,448,2,394,0
43,BBCC,241,5,42,12,48076,241,4,196,0
44,BBEE,184,1,42,13,48110,184,1,65,0
44,BBFF,183,2,42,13,48127,183,1,68,0
44,CC22,500,3,42,13,52258,500,2,371,6
45,BBEE,196,1,42,14,48110,196,1,66,0
45,BBFF,187,2,42,14,48127,187,1,69,0
45,BBDD,448,3,42,14,48093,448,2,395,0
46,BBEE,217,1,42,15,48110,217,1,67,0
46,BBFF,182,2,42,15,48127,182,1,70,0
46,CC22,504,3,42,15,52258,504,2,372,6
47,BBEE,223,1,42,16,48110,223,1,68,0
47,BBFF,183,2,42,16,48127,183,1,71,0
47,CC33,239,3,42,16,52275,239,4,178,1
47,BBDD,450,4,42,16,48093,450,2,396,0
47,BBCC,239,5,42,16,48076,239,4,197,0
48,BBEE,228,1,42,17,48110,228,1,69,0
48,BBFF,183,2,42,17,48127,183,1,72,0
48,CC66,241,3,42,17,52326,241,3,92,13
48,CC22,495,4,42,17,52258,495,2,373,6
49,BBEE,242,1,42,18,48110,242,1,70,0
49,BBFF,187,2,42,18,48127,187,1,73,0
49,BBDD,455,3,42,18,48093,455,2,397,0
50,BBEE,259,1,42,19,48110,259,1,71,0
50,BBFF,178,2,42,19,48127,178,1,74,0
51,BBEE,273,1,42,20,48110,273,1,72,0
51,BBFF,181,2,42,20,48127,181,1,75,0
51,CC66,253,3,42,20,52326,253,3,93,13
51,CC33,256,4,42,20,52275,256,4,179,1
51,BBDD,454,5,42,20,48093,454,2,398,0
51,BBCC,198,6,42,20,48076,198,4,198,0
52,BBEE,279,1,42,21,48110,279,1,73,0
52,BBFF,186,2,42,21,48127,186,1,76,0
52,CC22,503,3,42,21,52258,503,2,374,7
53,BBEE,285,1,42,22,48110,285,1,74,0
53,BBFF,183,2,42,22,48127,183,1,77,0
53,BBDD,460,3,42,22,48093,460,2,399,0
54,BBEE,295,1,42,23,48110,295,1,75,0
54,BBFF,183,2,42,23,48127,183,1,78,0
54,CC22,489,3,42,23,52258,489,2,375,7
55,BBEE,312,1,42,24,48110,312,1,76,0
55,BBFF,182,2,42,24,48127,182,1,79,0
55,CC33,257,3,42,24,52275,257,4,180,1
55,BBDD,451,4,42,24,48093,451,2,400,0
55,BBCC,252,5,42,24,48076,252,4,199,0
56,BBEE,320,1,42,25,48110,320,1,77,0
56,BBFF,188,2,42,25,48127,188,1,80,0
56,CC22,494,3,42,25,52258,494,2,376,7
57,BBEE,354,1,42,26,48110,354,1,80,0
57,BBFF,189,2,42,26,48127,189,1,83,0
57,CC33,238,3,42,26,52275,238,4,181,1
57,BBDD,462,4,42,26,48093,462,2,402,0
57,BBCC,226,5,42,26,48076,226,4,200,0
58,BBEE,360,1,42,27,48110,360,1,81,0
58,BBFF,190,2,42,27,48127,190,1,84,0
58,CC22,496,3,42,27,52258,496,2,378,7
59,BBEE,370,1,42,28,48110,370,1,82,0
59,BBFF,181,2,42,28,48127,181,1,85,0
59,BBDD,449,3,42,28,48093,449,2,403,0
60,BBEE,382,1,42,29,48110,382,1,83,0
60,BBFF,184,2,42,29,48127,184,1,86,0
