time, tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence,tag_id
30,48110,78,1,41,59,48110,78,1,51,0,BBEE
30,48127,189,2,41,59,48127,189,1,54,0,BBFF
30,52326,237,3,41,59,52326,237,3,90,10,CC66
30,52258,495,4,41,59,52258,495,2,364,6,CC22
31,48110,80,1,42,0,48110,80,1,52,0,BBEE
31,48127,184,2,42,0,48127,184,1,55,0,BBFF
31,52275,242,3,42,0,52275,242,4,174,1,CC33
31,48093,454,4,42,0,48093,454,2,388,0,BBDD
31,48076,247,5,42,0,48076,247,4,193,0,BBCC
32,48110,80,1,42,1,48110,80,1,53,0,BBEE
32,48127,184,2,42,1,48127,184,1,56,0,BBFF
32,52258,493,3,42,1,52258,493,2,365,6,CC22
33,48110,78,1,42,2,48110,78,1,54,0,BBEE
33,48127,183,2,42,2,48127,183,1,57,0,BBFF
33,48093,448,3,42,2,48093,448,2,389,0,BBDD
34,48110,90,1,42,3,48110,90,1,55,0,BBEE
34,48127,183,2,42,3,48127,183,1,58,0,BBFF
34,52258,498,3,42,3,52258,498,2,366,6,CC22
35,48110,89,1,42,4,48110,89,1,56,0,BBEE
35,48127,184,2,42,4,48127,184,1,59,0,BBFF
35,52275,251,3,42,4,52275,251,4,175,1,CC33
35,48093,448,4,42,4,48093,448,2,390,0,BBDD
35,48076,242,5,42,4,48076,242,4,194,0,BBCC
36,48110,102,1,42,5,48110,102,1,57,0,BBEE
36,48127,190,2,42,5,48127,190,1,60,0,BBFF
36,52258,490,3,42,5,52258,490,2,367,6,CC22
37,48110,121,1,42,6,48110,121,1,58,0,BBEE
37,48127,184,2,42,6,48127,184,1,61,0,BBFF
37,48093,442,3,42,6,48093,442,2,391,0,BBDD
38,48110,136,1,42,7,48110,136,1,59,0,BBEE
38,48127,181,2,42,7,48127,181,1,62,0,BBFF
38,52258,494,3,42,7,52258,494,2,368,6,CC22
39,48110,138,1,42,8,48110,138,1,60,0,BBEE
39,48127,181,2,42,8,48127,181,1,63,0,BBFF
39,52326,210,3,42,8,52326,210,3,91,11,CC66
39,52275,247,4,42,8,52275,247,4,176,1,CC33
39,48093,446,5,42,8,48093,446,2,392,0,BBDD
39,48076,241,6,42,8,48076,241,4,195,0,BBCC
40,48110,143,1,42,9,48110,143,1,61,0,BBEE
40,48127,186,2,42,9,48127,186,1,64,0,BBFF
40,52258,492,3,42,9,52258,492,2,369,6,CC22
41,48110,151,1,42,10,48110,151,1,62,0,BBEE
41,48127,181,2,42,10,48127,181,1,65,0,BBFF
41,48093,453,3,42,10,48093,453,2,393,0,BBDD
42,48110,163,1,42,11,48110,163,1,63,0,BBEE
42,48127,181,2,42,11,48127,181,1,66,0,BBFF
42,52258,496,3,42,11,52258,496,2,370,6,CC22
43,48110,179,1,42,12,48110,179,1,64,0,BBEE
43,48127,187,2,42,12,48127,187,1,67,0,BBFF
43,52275,233,3,42,12,52275,233,4,177,1,CC33
43,48093,448,4,42,12,48093,448,2,394,0,BBDD
43,48076,241,5,42,12,48076,241,4,196,0,BBCC
44,48110,184,1,42,13,48110,184,1,65,0,BBEE
44,48127,183,2,42,13,48127,183,1,68,0,BBFF
44,52258,500,3,42,13,52258,500,2,371,6,CC22
45,48110,196,1,42,14,48110,196,1,66,0,BBEE
45,48127,187,2,42,14,48127,187,1,69,0,BBFF
45,48093,448,3,42,14,48093,448,2,395,0,BBDD
46,48110,217,1,42,15,48110,217,1,67,0,BBEE
46,48127,182,2,42,15,48127,182,1,70,0,BBFF
46,52258,504,3,42,15,52258,504,2,372,6,CC22
47,48110,223,1,42,16,48110,223,1,68,0,BBEE
47,48127,183,2,42,16,48127,183,1,71,0,BBFF
47,52275,239,3,42,16,52275,239,4,178,1,CC33
47,48093,450,4,42,16,48093,450,2,396,0,BBDD
47,48076,239,5,42,16,48076,239,4,197,0,BBCC
48,48110,228,1,42,17,48110,228,1,69,0,BBEE
48,48127,183,2,42,17,48127,183,1,72,0,BBFF
48,52326,241,3,42,17,52326,241,3,92,13,CC66
48,52258,495,4,42,17,52258,495,2,373,6,CC22
49,48110,242,1,42,18,48110,242,1,70,0,BBEE
49,48127,187,2,42,18,48127,187,1,73,0,BBFF
49,48093,455,3,42,18,48093,455,2,397,0,BBDD
50,48110,259,1,42,19,48110,259,1,71,0,BBEE
50,48127,178,2,42,19,48127,178,1,74,0,BBFF
51,48110,273,1,42,20,48110,273,1,72,0,BBEE
51,48127,181,2,42,20,48127,181,1,75,0,BBFF
51,52326,253,3,42,20,52326,253,3,93,13,CC66
51,52275,256,4,42,20,52275,256,4,179,1,CC33
51,48093,454,5,42,20,48093,454,2,398,0,BBDD
51,48076,198,6,42,20,48076,198,4,198,0,BBCC
52,48110,279,1,42,21,48110,279,1,73,0,BBEE
52,48127,186,2,42,21,48127,186,1,76,0,BBFF
52,52258,503,3,42,21,52258,503,2,374,7,CC22
53,48110,285,1,42,22,48110,285,1,74,0,BBEE
53,48127,183,2,42,22,48127,183,1,77,0,BBFF
53,48093,460,3,42,22,48093,460,2,399,0,BBDD
54,48110,295,1,42,23,48110,295,1,75,0,BBEE
54,48127,183,2,42,23,48127,183,1,78,0,BBFF
54,52258,489,3,42,23,52258,489,2,375,7,CC22
55,48110,312,1,42,24,48110,312,1,76,0,BBEE
55,48127,182,2,42,24,48127,182,1,79,0,BBFF
55,52275,257,3,42,24,52275,257,4,180,1,CC33
55,48093,451,4,42,24,48093,451,2,400,0,BBDD
55,48076,252,5,42,24,48076,252,4,199,0,BBCC
56,48110,320,1,42,25,48110,320,1,77,0,BBEE
56,48127,188,2,42,25,48127,188,1,80,0,BBFF
56,52258,494,3,42,25,52258,494,2,376,7,CC22
57,48110,354,1,42,26,48110,354,1,80,0,BBEE
57,48127,189,2,42,26,48127,189,1,83,0,BBFF
57,52275,238,3,42,26,52275,238,4,181,1,CC33
57,48093,462,4,42,26,48093,462,2,402,0,BBDD
57,48076,226,5,42,26,48076,226,4,200,0,BBCC
58,48110,360,1,42,27,48110,360,1,81,0,BBEE
58,48127,190,2,42,27,48127,190,1,84,0,BBFF
58,52258,496,3,42,27,52258,496,2,378,7,CC22
59,48110,370,1,42,28,48110,370,1,82,0,BBEE
59,48127,181,2,42,28,48127,181,1,85,0,BBFF
59,48093,449,3,42,28,48093,449,2,403,0,BBDD
60,48110,382,1,42,29,48110,382,1,83,0,BBEE
60,48127,184,2,42,29,48127,184,1,86,0,BBFF
60,52258,499,3,42,29,52258,499,2,379,7,CC22
61,48110,393,1,42,30,48110,393,1,84,0,BBEE
61,48127,186,2,42,30,48127,186,1,87,0,BBFF
61,52326,231,3,42,30,52326,231,3,95,14,CC66
61,52275,210,4,42,30,52275,210,4,182,1,CC33
61,48093,469,5,42,30,48093,469,2,404,0,BBDD
61,48076,240,6,42,30,48076,240,4,201,0,BBCC
62,48110,405,1,42,31,48110,405,1,85,0,BBEE
62,48127,179,2,42,31,48127,179,1,88,0,BBFF
62,52258,480,3,42,31,52258,480,2,380,7,CC22
63,48110,408,1,42,32,48110,408,1,86,0,BBEE
63,48127,191,2,42,32,48127,191,1,89,0,BBFF
63,48093,464,3,42,32,48093,464,2,405,0,BBDD
64,48110,419,1,42,33,48110,419,1,87,0,BBEE
64,48127,184,2,42,33,48127,184,1,90,0,BBFF
64,52326,220,3,42,33,52326,220,3,96,14,CC66
64,52258,492,4,42,33,52258,492,2,381,7,CC22
65,48110,425,1,42,34,48110,425,1,88,0,BBEE
65,48127,187,2,42,34,48127,187,1,91,0,BBFF
65,52275,235,3,42,34,52275,235,4,183,1,CC33
65,48093,460,4,42,34,48093,460,2,406,0,BBDD
65,48076,213,5,42,34,48076,213,4,202,0,BBCC
66,48110,439,1,42,35,48110,439,1,89,0,BBEE
66,48127,189,2,42,35,48127,189,1,92,0,BBFF
66,52258,491,3,42,35,52258,491,2,382,7,CC22
67,48110,453,1,42,36,48110,453,1,90,0,BBEE
67,48127,183,2,42,36,48127,183,1,93,0,BBFF
67,48093,458,3,42,36,48093,458,2,407,0,BBDD
68,48110,459,1,42,37,48110,459,1,91,0,BBEE
68,48127,187,2,42,37,48127,187,1,94,0,BBFF
68,52258,494,3,42,37,52258,494,2,383,7,CC22
69,48110,473,1,42,38,48110,473,1,92,0,BBEE
