time, tag_id, distance,,time1,, distance, times, interval, absence,,,,index, min, sec
41,48093,280,,91,,280,1,42,0,,,,4,8,31
42,48127,401,,92,,401,1,19,0,,,,1,8,32
42,52258,406,,92,,406,1,21,0,,,,2,8,32
42,48110,228,,92,,228,1,36,0,,,,3,8,32
42,48093,280,,92,,280,1,43,0,,,,4,8,32
43,48127,402,,93,,402,1,20,0,,,,1,8,33
43,52258,386,,93,,386,1,22,0,,,,2,8,33
43,48110,230,,93,,230,1,37,0,,,,3,8,33
43,48093,278,,93,,278,1,44,0,,,,4,8,33
44,48127,398,,94,,398,1,21,0,,,,1,8,34
44,52258,382,,94,,382,1,23,0,,,,2,8,34
44,48110,230,,94,,230,1,38,0,,,,3,8,34
44,48093,287,,94,,287,1,45,0,,,,4,8,34
45,48127,405,,95,,405,1,22,0,,,,1,8,35
45,52258,387,,95,,387,1,24,0,,,,2,8,35
45,48110,230,,95,,230,1,39,0,,,,3,8,35
45,48093,280,,95,,280,1,46,0,,,,4,8,35
46,48127,399,,96,,399,1,23,0,,,,1,8,36
46,52258,380,,96,,380,1,25,0,,,,2,8,36
46,48110,225,,96,,225,1,40,0,,,,3,8,36
46,48093,275,,96,,275,1,47,0,,,,4,8,36
47,48127,403,,97,,403,1,24,0,,,,1,8,37
47,52258,394,,97,,394,1,26,0,,,,2,8,37
47,48110,230,,97,,230,1,41,0,,,,3,8,37
47,48093,281,,97,,281,1,48,0,,,,4,8,37
48,48127,405,,98,,405,1,25,0,,,,1,8,38
48,52258,388,,98,,388,1,27,0,,,,2,8,38
48,48110,226,,98,,226,1,42,0,,,,3,8,38
48,48093,284,,98,,284,1,49,0,,,,4,8,38
49,48127,403,,99,,403,1,26,0,,,,1,8,39
49,52258,386,,99,,386,1,28,0,,,,2,8,39
49,48110,227,,99,,227,1,43,0,,,,3,8,39
49,48093,279,,99,,279,1,50,0,,,,4,8,39
50,48127,402,,100,,402,1,27,0,,,,1,8,40
50,52258,394,,100,,394,1,29,0,,,,2,8,40
50,48110,227,,100,,227,1,44,0,,,,3,8,40
50,48093,277,,100,,277,1,51,0,,,,4,8,40
51,48127,400,,101,,400,1,28,0,,,,1,8,41
51,52258,416,,101,,416,1,30,0,,,,2,8,41
51,48110,227,,101,,227,1,45,0,,,,3,8,41
51,48093,278,,101,,278,1,52,0,,,,4,8,41
52,48127,407,,102,,407,1,29,0,,,,1,8,42
52,52258,411,,102,,411,1,31,0,,,,2,8,42
52,48110,228,,102,,228,1,46,0,,,,3,8,42
52,48093,274,,102,,274,1,53,0,,,,4,8,42
53,48127,406,,103,,406,1,30,0,,,,1,8,43
53,52258,430,,103,,430,1,32,0,,,,2,8,43
53,48110,230,,103,,230,1,47,0,,,,3,8,43
53,48093,279,,103,,279,1,54,0,,,,4,8,43
54,48127,401,,104,,401,1,31,0,,,,1,8,44
54,52258,423,,104,,423,1,33,0,,,,2,8,44
54,48110,223,,104,,223,1,48,0,,,,3,8,44
54,48093,283,,104,,283,1,55,0,,,,4,8,44
55,48127,405,,105,,405,1,32,0,,,,1,8,45
55,52258,418,,105,,418,1,34,0,,,,2,8,45
55,48110,230,,105,,230,1,49,0,,,,3,8,45
55,48093,280,,105,,280,1,56,0,,,,4,8,45
56,48127,403,,106,,403,1,33,0,,,,1,8,46
56,52258,403,,106,,403,1,35,0,,,,2,8,46
56,48110,228,,106,,228,1,50,0,,,,3,8,46
56,48093,278,,106,,278,1,57,0,,,,4,8,46
57,48127,402,,107,,402,1,34,0,,,,1,8,47
57,52258,417,,107,,417,1,36,0,,,,2,8,47
57,48110,231,,107,,231,1,51,0,,,,3,8,47
57,48093,277,,107,,277,1,58,0,,,,4,8,47
58,48127,404,,108,,404,1,35,0,,,,1,8,48
58,52258,424,,108,,424,1,37,0,,,,2,8,48
58,48110,235,,108,,235,1,52,0,,,,3,8,48
58,48093,280,,108,,280,1,59,0,,,,4,8,48
59,48127,399,,109,,399,1,36,0,,,,1,8,49
59,52258,436,,109,,436,1,38,0,,,,2,8,49
59,48110,228,,109,,228,1,53,0,,,,3,8,49
59,48093,280,,109,,280,1,60,0,,,,4,8,49
60,48127,397,,110,,397,1,37,0,,,,1,8,50
60,52258,425,,110,,425,1,39,0,,,,2,8,50
60,48110,230,,110,,230,1,54,0,,,,3,8,50
60,48093,286,,110,,286,1,61,0,,,,4,8,50
61,48127,402,,111,,402,1,38,0,,,,1,8,51
61,52258,424,,111,,424,1,40,0,,,,2,8,51
61,48110,230,,111,,230,1,55,0,,,,3,8,51
61,48093,280,,111,,280,1,62,0,,,,4,8,51
62,48127,397,,112,,397,1,39,0,,,,1,8,52
62,52258,438,,112,,438,1,41,0,,,,2,8,52
62,48110,228,,112,,228,1,56,0,,,,3,8,52
62,48093,280,,112,,280,1,63,0,,,,4,8,52
63,48127,404,,113,,404,1,40,0,,,,1,8,53
63,52258,423,,113,,423,1,42,0,,,,2,8,53
63,48110,231,,113,,231,1,57,0,,,,3,8,53
63,48093,284,,113,,284,1,64,0,,,,4,8,53
64,48127,405,,114,,405,1,41,0,,,,1,8,54
64,52258,441,,114,,441,1,43,0,,,,2,8,54
64,48110,228,,114,,228,1,58,0,,,,3,8,54
64,48093,285,,114,,285,1,65,0,,,,4,8,54
65,48127,404,,115,,404,1,42,0,,,,1,8,55
65,52258,431,,115,,431,1,44,0,,,,2,8,55
65,48110,232,,115,,232,1,59,0,,,,3,8,55
65,48093,283,,115,,283,1,66,0,,,,4,8,55
66,48127,418,,116,,418,1,43,0,,,,1,8,56
66,52258,430,,116,,430,1,45,0,,,,2,8,56
66,48110,232,,116,,232,1,60,0,,,,3,8,56
66,48093,280,,116,,280,1,67,0,,,,4,8,56
67,48127,423,,117,,423,1,44,0,,,,1,8,57
67,52258,439,,117,,439,1,46,0,,,,2,8,57
67,48110,229,,117,,229,1,61,0,,,,3,8,57
67,48093,275,,117,,275,1,68,0,,,,4,8,57
68,48127,430,,118,,430,1,45,0,,,,1,8,58
68,52258,429,,118,,429,1,47,0,,,,2,8,58
68,48110,226,,118,,226,1,62,0,,,,3,8,58
68,48093,279,,118,,279,1,69,0,,,,4,8,58
69,48127,445,,119,,445,1,46,0,,,,1,8,59
69,52258,429,,119,,429,1,48,0,,,,2,8,59
69,48110,227,,119,,227,1,63,0,,,,3,8,59
69,48093,281,,119,,281,1,70,0,,,,4,8,59
70,48127,449,,120,,449,1,47,0,,,,1,9,0
70,52258,431,,120,,431,1,49,0,,,,2,9,0
70,48110,225,,120,,225,1,64,0,,,,3,9,0
70,48093,275,,120,,275,1,71,0,,,,4,9,0
71,48127,451,,121,,451,1,48,0,,,,1,9,1
71,52258,435,,121,,435,1,50,0,,,,2,9,1
71,48110,229,,121,,229,1,65,0,,,,3,9,1
71,48093,280,,121,,280,1,72,0,,,,4,9,1
72,48127,460,,122,,460,1,49,0,,,,1,9,2
72,52258,426,,122,,426,1,51,0,,,,2,9,2
72,48110,236,,122,,236,1,66,0,,,,3,9,2
72,48093,280,,122,,280,1,73,0,,,,4,9,2
73,48127,483,,123,,483,1,50,0,,,,1,9,3
73,52258,401,,123,,401,1,52,0,,,,2,9,3
73,48110,244,,123,,244,1,67,0,,,,3,9,3
73,48093,277,,123,,277,1,74,0,,,,4,9,3
74,48127,486,,124,,486,1,51,0,,,,1,9,4
74,52258,397,,124,,397,1,53,0,,,,2,9,4
74,48110,248,,124,,248,1,68,0,,,,3,9,4
74,48093,277,,124,,277,1,75,0,,,,4,9,4
75,48127,503,,125,,503,1,52,0,,,,1,9,5
75,52258,395,,125,,395,1,54,0,,,,2,9,5
75,48110,267,,125,,267,1,69,0,,,,3,9,5
75,48093,272,,125,,272,1,76,0,,,,4,9,5
76,48127,509,,126,,509,1,53,0,,,,1,9,6
76,52258,401,,126,,401,1,55,0,,,,2,9,6
76,48110,282,,126,,282,1,70,0,,,,3,9,6
76,48093,278,,126,,278,1,77,0,,,,4,9,6
77,48127,513,,127,,513,1,54,0,,,,1,9,7
77,52258,401,,127,,401,1,56,0,,,,2,9,7
77,48110,287,,127,,287,1,71,0,,,,3,9,7
77,48093,278,,127,,278,1,78,0,,,,4,9,7
78,48127,528,,128,,528,1,55,0,,,,1,9,8
78,52258,399,,128,,399,1,57,0,,,,2,9,8
78,48110,295,,128,,295,1,72,0,,,,3,9,8
78,48093,280,,128,,280,1,79,0,,,,4,9,8
79,48127,537,,129,,537,1,56,0,,,,1,9,9
79,52258,403,,129,,403,1,58,0,,,,2,9,9
79,48110,304,,129,,304,1,73,0,,,,3,9,9
79,48093,275,,129,,275,1,80,0,,,,4,9,9
80,48127,549,,130,,549,1,57,0,,,,1,9,10
80,52258,394,,130,,394,1,59,0,,,,2,9,10
80,48110,314,,130,,314,1,74,0,,,,3,9,10
80,48093,280,,130,,280,1,81,0,,,,4,9,10
81,48127,559,,131,,559,1,58,0,,,,1,9,11
81,52258,394,,131,,394,1,60,0,,,,2,9,11
81,48110,329,,131,,329,1,75,0,,,,3,9,11
81,48093,280,,131,,280,1,82,0,,,,4,9,11
82,48127,564,,132,,564,1,59,0,,,,1,9,12
82,52258,393,,132,,393,1,61,0,,,,2,9,12
82,48110,337,,132,,337,1,76,0,,,,3,9,12
82,48093,273,,132,,273,1,83,0,,,,4,9,12
83,48127,575,,133,,575,1,60,0,,,,1,9,13
83,52258,399,,133,,399,1,62,0,,,,2,9,13
83,48110,355,,133,,355,1,77,0,,,,3,9,13
83,48093,278,,133,,278,1,84,0,,,,4,9,13
84,48127,586,,134,,586,1,61,0,,,,1,9,14
84,52258,394,,134,,394,1,63,0,,,,2,9,14
84,48110,361,,134,,361,1,78,0,,,,3,9,14
84,48093,279,,134,,279,1,85,0,,,,4,9,14
85,48127,599,,135,,599,1,62,0,,,,1,9,15
85,52258,394,,135,,394,1,64,0,,,,2,9,15
85,48110,374,,135,,374,1,79,0,,,,3,9,15
85,48093,273,,135,,273,1,86,0,,,,4,9,15
86,48127,609,,136,,609,1,63,0,,,,1,9,16
86,52258,393,,136,,393,1,65,0,,,,2,9,16
86,48110,381,,136,,381,1,80,0,,,,3,9,16
86,48093,275,,136,,275,1,87,0,,,,4,9,16
87,48127,621,,137,,621,1,64,0,,,,1,9,17
87,52258,395,,137,,395,1,66,0,,,,2,9,17
87,48110,394,,137,,394,1,81,0,,,,3,9,17
87,48093,281,,137,,281,1,88,0,,,,4,9,17
88,48127,621,,138,,621,1,65,0,,,,1,9,18
88,52258,393,,138,,393,1,67,0,,,,2,9,18
88,48110,401,,138,,401,1,82,0,,,,3,9,18
88,48093,278,,138,,278,1,89,0,,,,4,9,18
89,48127,641,,139,,641,1,66,0,,,,1,9,19
89,52258,382,,139,,382,1,68,0,,,,2,9,19
89,48110,409,,139,,409,1,83,0,,,,3,9,19
89,48093,275,,139,,275,1,90,0,,,,4,9,19
90,48127,648,,140,,648,1,67,0,,,,1,9,20
90,52258,429,,140,,429,1,69,0,,,,2,9,20
90,48110,422,,140,,422,1,84,0,,,,3,9,20
90,48093,278,,140,,278,1,91,0,,,,4,9,20
91,48127,655,,141,,655,1,68,0,,,,1,9,21
91,52258,385,,141,,385,1,70,0,,,,2,9,21
91,48110,430,,141,,430,1,85,0,,,,3,9,21
91,48093,279,,141,,279,1,92,0,,,,4,9,21
92,48127,676,,142,,676,1,69,0,,,,1,9,22
92,52258,384,,142,,384,1,71,0,,,,2,9,22
92,48110,437,,142,,437,1,86,0,,,,3,9,22
