index,min,, sec, tag_id, distance,times, interval,  absence
1,8,,37,0xcc22,225,1,1,2
2,8,,37,0xbbdd,336,10,1,2
3,8,,37,0xcc11,295,20,1,0
4,8,,37,0xbbee,223,25,1,2
5,8,,37,0xcc33,314,34,1,1
6,8,,37,0xcc66,200,46,1,0
,,,,,,,,
1,8,,37,0xcc22,229,2,1,2
2,8,,37,0xbbdd,332,11,1,2
3,8,,37,0xcc11,299,21,1,0
4,8,,37,0xbbee,222,26,1,2
5,8,,37,0xcc33,317,35,1,1
6,8,,37,0xcc66,197,47,1,0
,,,,,,,,
1,8,,38,0xcc22,219,3,1,2
2,8,,38,0xbbdd,334,12,1,2
3,8,,38,0xcc11,300,22,1,0
4,8,,38,0xbbee,220,27,1,2
5,8,,38,0xcc33,310,36,1,1
6,8,,38,0xcc66,193,48,1,0
,,,,,,,,
1,8,,39,0xcc22,228,4,1,2
2,8,,39,0xbbdd,336,13,1,2
3,8,,39,0xcc11,295,23,1,0
4,8,,39,0xbbee,224,28,1,2
5,8,,39,0xcc33,317,37,1,1
6,8,,39,0xcc66,201,49,1,0
,,,,,,,,
1,8,,40,0xcc22,226,5,1,2
2,8,,40,0xbbdd,336,14,1,2
3,8,,40,0xcc11,301,24,1,0
4,8,,40,0xbbee,220,29,1,2
5,8,,40,0xcc33,319,38,1,1
6,8,,40,0xcc66,200,50,1,0
,,,,,,,,
1,8,,41,0xbbdd,330,15,1,2
2,8,,41,0xcc11,289,25,1,0
3,8,,41,0xbbee,225,30,1,2
4,8,,41,0xcc33,313,39,1,1
5,8,,41,0xcc66,199,51,1,0
,,,,,,,,
1,8,,41,0xbbdd,334,16,1,2
2,8,,41,0xcc11,299,26,1,0
3,8,,41,0xcc33,317,40,1,1
4,8,,41,0xcc66,198,52,1,0
,,,,,,,,
1,8,,43,0xbbdd,338,17,1,2
2,8,,43,0xcc11,299,27,1,0
3,8,,43,0xbbee,221,31,1,2
4,8,,43,0xcc33,315,41,1,1
5,8,,43,0xcc66,196,53,1,0
,,,,,,,,
1,8,,44,0xbbdd,333,18,1,2
2,8,,44,0xcc11,292,28,1,0
3,8,,44,0xbbee,223,32,1,2
4,8,,44,0xcc33,314,42,1,1
5,8,,44,0xcc66,197,54,1,0
,,,,,,,,
1,8,,45,0xbbdd,346,19,1,2
2,8,,45,0xcc11,305,29,1,0
3,8,,45,0xbbee,202,33,1,2
4,8,,45,0xcc33,319,43,1,1
5,8,,45,0xcc66,198,55,1,0
,,,,,,,,
1,8,,46,0xbbdd,337,20,1,2
2,8,,46,0xcc11,302,30,1,0
3,8,,46,0xcc33,312,44,1,1
4,8,,46,0xcc66,189,56,1,0
,,,,,,,,
1,8,,48,0xbbdd,339,21,1,2
2,8,,48,0xcc11,300,31,1,0
3,8,,48,0xbbee,224,34,1,2
4,8,,48,0xcc33,316,45,1,1
5,8,,48,0xcc66,196,57,1,0
,,,,,,,,
1,8,,48,0xcc22,221,1,1,2
2,8,,48,0xbbdd,337,22,1,2
3,8,,48,0xcc11,295,32,1,0
4,8,,48,0xbbee,223,35,1,2
5,8,,48,0xcc33,316,46,1,1
6,8,,48,0xcc66,197,58,1,0
,,,,,,,,
1,8,,49,0xbbdd,332,23,1,2
2,8,,49,0xcc11,291,33,1,0
3,8,,49,0xbbee,225,36,1,2
4,8,,49,0xcc33,317,47,1,1
5,8,,49,0xcc66,199,59,1,0
,,,,,,,,
1,8,,50,0xcc22,218,2,1,2
