time, tag_id, distance, min, sec, index, id,times,  interval,  absence
1, 48110, 1530, 52, 58, 1,  0xbbee,1,1,0
2, 48110, 1530, 52, 59, 1,  0xbbee,2,1,0
3, 48110, 1533, 53, 00, 1,  0xbbee,3,1,0
4, 48110, 1534, 53, 01, 1,  0xbbee,4,1,0
5, 48076, 1007, 53, 02, 1,  0xbbcc,1,1,0
5, 48110, 1529, 53, 02, 2,  0xbbee,5,1,0
6, 48042, 934, 53, 03, 1,  0xbbaa,1,3,0
6, 48076, 1006, 53, 03, 2,  0xbbcc,2,1,0
6, 48110, 1529, 53, 03, 3,  0xbbee,6,1,0
7, 48076, 1009, 53, 04, 1,  0xbbcc,3,1,0
7, 48110, 1536, 53, 04, 2,  0xbbee,7,1,0
8, 48076, 1009, 53, 05, 1,  0xbbcc,4,1,0
8, 48110, 1531, 53, 05, 2,  0xbbee,8,1,0
9, 48042, 936, 53, 07, 1,  0xbbaa,2,3,0
9, 48076, 1007, 53, 07, 2,  0xbbcc,5,1,0
9, 48110, 1527, 53, 07, 3,  0xbbee,9,1,0
10, 48076, 1016, 53, 07, 1,  0xbbcc,6,1,0
10, 48110, 1531, 53, 07, 2,  0xbbee,10,1,0
11, 48076, 1013, 53, 08, 1,  0xbbcc,7,1,0
11, 48110, 1533, 53, 08, 2,  0xbbee,11,1,0
12, 52241, 956, 53, 09, 1,  0xcc11,1,2,0
12, 48042, 933, 53, 09, 2,  0xbbaa,3,3,0
12, 48076, 998, 53, 09, 3,  0xbbcc,8,1,0
12, 48110, 1537, 53, 09, 4,  0xbbee,12,1,0
13, 48076, 1001, 53, 10, 1,  0xbbcc,9,1,0
13, 48110, 1527, 53, 10, 2,  0xbbee,13,1,0
14, 52258, 844, 53, 11, 1,  0xcc22,1,2,0
14, 52241, 946, 53, 11, 2,  0xcc11,2,2,0
14, 48076, 998, 53, 11, 3,  0xbbcc,10,1,0
14, 48110, 1534, 53, 11, 4,  0xbbee,14,1,0
15, 48042, 939, 53, 12, 1,  0xbbaa,4,3,0
15, 48076, 992, 53, 12, 2,  0xbbcc,11,1,0
15, 48110, 1528, 53, 12, 3,  0xbbee,15,1,0
16, 52258, 842, 53, 13, 1,  0xcc22,2,2,0
16, 52241, 942, 53, 13, 2,  0xcc11,3,2,0
16, 48076, 977, 53, 13, 3,  0xbbcc,12,1,0
16, 48110, 1533, 53, 13, 4,  0xbbee,16,1,0
17, 48127, 395, 53, 14, 1,  0xbbff,1,1,0
17, 48076, 976, 53, 14, 2,  0xbbcc,13,1,0
17, 48110, 1520, 53, 14, 3,  0xbbee,17,1,0
18, 48127, 397, 53, 15, 1,  0xbbff,2,1,0
18, 52241, 947, 53, 15, 2,  0xcc11,4,2,0
18, 48042, 941, 53, 15, 3,  0xbbaa,5,3,0
18, 48076, 970, 53, 15, 4,  0xbbcc,14,1,0
18, 48110, 1525, 53, 15, 5,  0xbbee,18,1,0
19, 52292, 70, 53, 16, 1,  0xcc44,1,3,0
19, 48127, 393, 53, 16, 2,  0xbbff,3,1,0
19, 48076, 954, 53, 16, 3,  0xbbcc,15,1,0
19, 48110, 1529, 53, 16, 4,  0xbbee,19,1,0
20, 48127, 397, 53, 17, 1,  0xbbff,4,1,0
20, 52258, 837, 53, 17, 2,  0xcc22,3,2,1
20, 52241, 946, 53, 17, 3,  0xcc11,5,2,0
20, 48076, 944, 53, 17, 4,  0xbbcc,16,1,0
20, 48110, 1524, 53, 17, 5,  0xbbee,20,1,0
21, 48127, 391, 53, 18, 1,  0xbbff,5,1,0
21, 48042, 935, 53, 18, 2,  0xbbaa,6,3,0
21, 48076, 930, 53, 18, 3,  0xbbcc,17,1,0
21, 48110, 1521, 53, 18, 4,  0xbbee,21,1,0
22, 52275, 214, 53, 19, 1,  0xcc33,1,4,0
22, 52292, 71, 53, 19, 2,  0xcc44,2,3,0
22, 48127, 386, 53, 19, 3,  0xbbff,6,1,0
22, 52258, 839, 53, 19, 4,  0xcc22,4,2,1
22, 52241, 953, 53, 19, 5,  0xcc11,6,2,0
22, 48076, 917, 53, 19, 6,  0xbbcc,18,1,0
22, 48110, 1507, 53, 19, 7,  0xbbee,22,1,0
23, 48127, 391, 53, 20, 1,  0xbbff,7,1,0
23, 48076, 921, 53, 20, 2,  0xbbcc,19,1,0
23, 48110, 1487, 53, 20, 3,  0xbbee,23,1,0
24, 48093, 373, 53, 21, 1,  0xbbdd,1,2,0
24, 48127, 393, 53, 21, 2,  0xbbff,8,1,0
24, 52258, 831, 53, 21, 3,  0xcc22,5,2,1
24, 52241, 966, 53, 21, 4,  0xcc11,7,2,0
24, 48042, 931, 53, 21, 5,  0xbbaa,7,3,0
24, 48076, 901, 53, 21, 6,  0xbbcc,20,1,0
24, 48110, 1474, 53, 21, 7,  0xbbee,24,1,0
25, 52292, 75, 53, 22, 1,  0xcc44,3,3,0
25, 48127, 383, 53, 22, 2,  0xbbff,9,1,0
25, 48076, 886, 53, 22, 3,  0xbbcc,21,1,0
25, 48110, 1457, 53, 22, 4,  0xbbee,25,1,0
26, 48093, 364, 53, 23, 1,  0xbbdd,2,2,0
26, 52275, 211, 53, 23, 2,  0xcc33,2,4,0
26, 48127, 385, 53, 23, 3,  0xbbff,10,1,0
26, 52258, 840, 53, 23, 4,  0xcc22,6,2,1
26, 52241, 988, 53, 23, 5,  0xcc11,8,2,0
26, 48076, 882, 53, 23, 6,  0xbbcc,22,1,0
26, 48110, 1443, 53, 23, 7,  0xbbee,26,1,0
27, 48127, 393, 53, 24, 1,  0xbbff,11,1,0
27, 48042, 943, 53, 24, 2,  0xbbaa,8,3,0
27, 48076, 875, 53, 24, 3,  0xbbcc,23,1,0
27, 48110, 1432, 53, 24, 4,  0xbbee,27,1,0
28, 48093, 371, 53, 25, 1,  0xbbdd,3,2,0
28, 52292, 72, 53, 25, 2,  0xcc44,4,3,0
28, 48127, 382, 53, 25, 3,  0xbbff,12,1,0
28, 52258, 841, 53, 25, 4,  0xcc22,7,2,1
28, 52241, 998, 53, 25, 5,  0xcc11,9,2,0
28, 48076, 859, 53, 25, 6,  0xbbcc,24,1,0
28, 48110, 1418, 53, 25, 7,  0xbbee,28,1,0
29, 48127, 393, 53, 26, 1,  0xbbff,13,1,0
29, 48076, 863, 53, 26, 2,  0xbbcc,25,1,0
29, 48110, 1395, 53, 26, 3,  0xbbee,29,1,0
30, 48093, 362, 53, 27, 1,  0xbbdd,4,2,0
