time, tag_id, distance, min, sec, index, id,times,  interval,  absence
30, 52275, 212, 53, 27, 2,  0xcc33,3,4,0
30, 48127, 389, 53, 27, 3,  0xbbff,14,1,0
30, 52258, 843, 53, 27, 4,  0xcc22,8,2,1
30, 52241, 1011, 53, 27, 5,  0xcc11,10,2,0
30, 48042, 929, 53, 27, 6,  0xbbaa,9,3,0
30, 48076, 848, 53, 27, 7,  0xbbcc,26,1,0
30, 48110, 1378, 53, 27, 8,  0xbbee,30,1,0
31, 52292, 71, 53, 28, 1,  0xcc44,5,3,0
31, 48127, 392, 53, 28, 2,  0xbbff,15,1,0
31, 48076, 828, 53, 28, 3,  0xbbcc,27,1,0
31, 48110, 1372, 53, 28, 4,  0xbbee,31,1,0
32, 48093, 362, 53, 29, 1,  0xbbdd,5,2,0
32, 48127, 387, 53, 29, 2,  0xbbff,16,1,0
32, 52258, 829, 53, 29, 3,  0xcc22,9,2,1
32, 52241, 1039, 53, 29, 4,  0xcc11,11,2,0
32, 48076, 834, 53, 29, 5,  0xbbcc,28,1,0
32, 48110, 1349, 53, 29, 6,  0xbbee,32,1,0
33, 48127, 388, 53, 30, 1,  0xbbff,17,1,0
33, 48042, 929, 53, 30, 2,  0xbbaa,10,3,0
33, 48076, 809, 53, 30, 3,  0xbbcc,29,1,0
33, 48110, 1339, 53, 30, 4,  0xbbee,33,1,0
34, 48093, 384, 53, 31, 1,  0xbbdd,6,2,0
34, 52275, 211, 53, 31, 2,  0xcc33,4,4,0
34, 52292, 68, 53, 31, 3,  0xcc44,6,3,0
34, 48127, 396, 53, 31, 4,  0xbbff,18,1,0
34, 52258, 836, 53, 31, 5,  0xcc22,10,2,1
34, 52241, 1042, 53, 31, 6,  0xcc11,12,2,0
34, 48076, 812, 53, 31, 7,  0xbbcc,30,1,0
34, 48110, 1322, 53, 31, 8,  0xbbee,34,1,0
35, 48127, 395, 53, 32, 1,  0xbbff,19,1,0
35, 48076, 797, 53, 32, 2,  0xbbcc,31,1,0
35, 48110, 1307, 53, 32, 3,  0xbbee,35,1,0
36, 48093, 381, 53, 33, 1,  0xbbdd,7,2,0
36, 48127, 401, 53, 33, 2,  0xbbff,20,1,0
36, 52258, 829, 53, 33, 3,  0xcc22,11,2,1
36, 52241, 1064, 53, 33, 4,  0xcc11,13,2,0
36, 48042, 932, 53, 33, 5,  0xbbaa,11,3,0
36, 48076, 786, 53, 33, 6,  0xbbcc,32,1,0
36, 48110, 1298, 53, 33, 7,  0xbbee,36,1,0
37, 52292, 73, 53, 34, 1,  0xcc44,7,3,0
37, 48127, 400, 53, 34, 2,  0xbbff,21,1,0
37, 48076, 767, 53, 34, 3,  0xbbcc,33,1,0
37, 48110, 1280, 53, 34, 4,  0xbbee,37,1,0
38, 48093, 386, 53, 35, 1,  0xbbdd,8,2,0
38, 52275, 208, 53, 35, 2,  0xcc33,5,4,0
38, 48127, 404, 53, 35, 3,  0xbbff,22,1,0
38, 52258, 840, 53, 35, 4,  0xcc22,12,2,1
38, 52241, 1072, 53, 35, 5,  0xcc11,14,2,0
38, 48076, 757, 53, 35, 6,  0xbbcc,34,1,0
38, 48110, 1267, 53, 35, 7,  0xbbee,38,1,0
39, 48127, 420, 53, 36, 1,  0xbbff,23,1,0
39, 48042, 930, 53, 36, 2,  0xbbaa,12,3,0
39, 48076, 746, 53, 36, 3,  0xbbcc,35,1,0
39, 48110, 1248, 53, 36, 4,  0xbbee,39,1,0
40, 48093, 395, 53, 37, 1,  0xbbdd,9,2,0
40, 52292, 68, 53, 37, 2,  0xcc44,8,3,0
40, 48127, 424, 53, 37, 3,  0xbbff,24,1,0
40, 52241, 1090, 53, 37, 4,  0xcc11,15,2,0
40, 48076, 737, 53, 37, 5,  0xbbcc,36,1,0
40, 48110, 1235, 53, 37, 6,  0xbbee,40,1,0
41, 48127, 447, 53, 38, 1,  0xbbff,25,1,0
41, 48076, 733, 53, 38, 2,  0xbbcc,37,1,0
41, 48110, 1214, 53, 38, 3,  0xbbee,41,1,0
42, 48093, 407, 53, 39, 1,  0xbbdd,10,2,0
42, 52275, 209, 53, 39, 2,  0xcc33,6,4,0
42, 48127, 441, 53, 39, 3,  0xbbff,26,1,0
42, 52258, 840, 53, 39, 4,  0xcc22,13,2,1
42, 52241, 1107, 53, 39, 5,  0xcc11,16,2,0
42, 48042, 925, 53, 39, 6,  0xbbaa,13,3,0
42, 48076, 730, 53, 39, 7,  0xbbcc,38,1,0
42, 48110, 1199, 53, 39, 8,  0xbbee,42,1,0
43, 48127, 481, 53, 42, 1,  0xbbff,29,1,0
43, 48042, 932, 53, 42, 2,  0xbbaa,14,3,0
43, 48076, 692, 53, 42, 3,  0xbbcc,41,1,0
43, 48110, 1166, 53, 42, 4,  0xbbee,45,1,0
44, 48093, 416, 53, 43, 1,  0xbbdd,12,2,0
44, 52275, 210, 53, 43, 2,  0xcc33,7,4,0
44, 52292, 67, 53, 43, 3,  0xcc44,10,3,0
44, 48127, 497, 53, 43, 4,  0xbbff,30,1,0
44, 52258, 833, 53, 43, 5,  0xcc22,15,2,1
44, 52241, 1127, 53, 43, 6,  0xcc11,18,2,0
44, 48076, 688, 53, 43, 7,  0xbbcc,42,1,0
44, 48110, 1142, 53, 43, 8,  0xbbee,46,1,0
45, 48127, 505, 53, 44, 1,  0xbbff,31,1,0
45, 48076, 673, 53, 44, 2,  0xbbcc,43,1,0
45, 48110, 1135, 53, 44, 3,  0xbbee,47,1,0
46, 48093, 417, 53, 45, 1,  0xbbdd,13,2,0
46, 48127, 516, 53, 45, 2,  0xbbff,32,1,0
46, 52258, 830, 53, 45, 3,  0xcc22,16,2,1
46, 52241, 1156, 53, 45, 4,  0xcc11,19,2,0
46, 48042, 929, 53, 45, 5,  0xbbaa,15,3,0
46, 48076, 660, 53, 45, 6,  0xbbcc,44,1,0
46, 48110, 1113, 53, 45, 7,  0xbbee,48,1,0
47, 52292, 74, 53, 46, 1,  0xcc44,11,3,0
47, 48127, 517, 53, 46, 2,  0xbbff,33,1,0
47, 48076, 651, 53, 46, 3,  0xbbcc,45,1,0
47, 48110, 1098, 53, 46, 4,  0xbbee,49,1,0
48, 48093, 425, 53, 47, 1,  0xbbdd,14,2,0
48, 52275, 213, 53, 47, 2,  0xcc33,8,4,0
48, 48127, 532, 53, 47, 3,  0xbbff,34,1,0
48, 52258, 843, 53, 47, 4,  0xcc22,17,2,1
48, 52241, 1157, 53, 47, 5,  0xcc11,20,2,0
48, 48076, 634, 53, 47, 6,  0xbbcc,46,1,0
48, 48110, 1086, 53, 47, 7,  0xbbee,50,1,0
49, 48127, 544, 53, 48, 1,  0xbbff,35,1,0
49, 48042, 932, 53, 48, 2,  0xbbaa,16,3,0
49, 48076, 626, 53, 48, 3,  0xbbcc,47,1,0
49, 48110, 1066, 53, 48, 4,  0xbbee,51,1,0
50, 48093, 440, 53, 49, 1,  0xbbdd,15,2,0
50, 52292, 69, 53, 49, 2,  0xcc44,12,3,0
50, 48127, 548, 53, 49, 3,  0xbbff,36,1,0
50, 52241, 1182, 53, 49, 4,  0xcc11,21,2,0
50, 48076, 617, 53, 49, 5,  0xbbcc,48,1,0
50, 48110, 1059, 53, 49, 6,  0xbbee,52,1,0
51, 48127, 568, 53, 50, 1,  0xbbff,37,1,0
51, 48076, 617, 53, 50, 2,  0xbbcc,49,1,0
51, 48110, 1042, 53, 50, 3,  0xbbee,53,1,0
52, 48093, 443, 53, 51, 1,  0xbbdd,16,2,0
52, 52275, 210, 53, 51, 2,  0xcc33,9,4,0
52, 48127, 562, 53, 51, 3,  0xbbff,38,1,0
52, 52258, 842, 53, 51, 4,  0xcc22,18,2,1
52, 52241, 1189, 53, 51, 5,  0xcc11,22,2,0
52, 48042, 926, 53, 51, 6,  0xbbaa,17,3,0
52, 48076, 603, 53, 51, 7,  0xbbcc,50,1,0
52, 48110, 1024, 53, 51, 8,  0xbbee,54,1,0
53, 52292, 73, 53, 52, 1,  0xcc44,13,3,0
53, 48127, 585, 53, 52, 2,  0xbbff,39,1,0
53, 48076, 586, 53, 52, 3,  0xbbcc,51,1,0
53, 48110, 1007, 53, 52, 4,  0xbbee,55,1,0
54, 48093, 458, 53, 53, 1,  0xbbdd,17,2,0
54, 48127, 596, 53, 53, 2,  0xbbff,40,1,0
54, 52241, 1223, 53, 53, 3,  0xcc11,23,2,0
54, 48076, 580, 53, 53, 4,  0xbbcc,52,1,0
54, 48110, 992, 53, 53, 5,  0xbbee,56,1,0
55, 48127, 609, 53, 54, 1,  0xbbff,41,1,0
55, 48042, 925, 53, 54, 2,  0xbbaa,18,3,0
55, 48076, 568, 53, 54, 3,  0xbbcc,53,1,0
55, 48110, 979, 53, 54, 4,  0xbbee,57,1,0
56, 48093, 463, 53, 55, 1,  0xbbdd,18,2,0
56, 52275, 210, 53, 55, 2,  0xcc33,10,4,0
56, 52292, 60, 53, 55, 3,  0xcc44,14,3,0
56, 48127, 620, 53, 55, 4,  0xbbff,42,1,0
56, 52258, 838, 53, 55, 5,  0xcc22,19,2,1
56, 52241, 1218, 53, 55, 6,  0xcc11,24,2,0
56, 48076, 561, 53, 55, 7,  0xbbcc,54,1,0
56, 48110, 961, 53, 55, 8,  0xbbee,58,1,0
57, 48127, 623, 53, 56, 1,  0xbbff,43,1,0
57, 48076, 549, 53, 56, 2,  0xbbcc,55,1,0
57, 48110, 952, 53, 56, 3,  0xbbee,59,1,0
58, 48093, 474, 53, 57, 1,  0xbbdd,19,2,0
58, 48127, 636, 53, 57, 2,  0xbbff,44,1,0
58, 52258, 837, 53, 57, 3,  0xcc22,20,2,1
58, 52241, 1238, 53, 57, 4,  0xcc11,25,2,0
58, 48042, 931, 53, 57, 5,  0xbbaa,19,3,0
58, 48076, 538, 53, 57, 6,  0xbbcc,56,1,0
58, 48110, 933, 53, 57, 7,  0xbbee,60,1,0
59, 52292, 71, 53, 58, 1,  0xcc44,15,3,0
59, 48127, 634, 53, 58, 2,  0xbbff,45,1,0
59, 48076, 530, 53, 58, 3,  0xbbcc,57,1,0
59, 48110, 923, 53, 58, 4,  0xbbee,61,1,0
60, 48093, 477, 53, 59, 1,  0xbbdd,20,2,0
60, 52275, 206, 53, 59, 2,  0xcc33,11,4,0
60, 48127, 644, 53, 59, 3,  0xbbff,46,1,0
60, 52258, 841, 53, 59, 4,  0xcc22,21,2,1
60, 52241, 1249, 53, 59, 5,  0xcc11,26,2,0
60, 48076, 515, 53, 59, 6,  0xbbcc,58,1,0
60, 48110, 900, 53, 59, 7,  0xbbee,62,1,0
61, 48127, 664, 54, 00, 1,  0xbbff,47,1,0
61, 48042, 943, 54, 00, 2,  0xbbaa,20,3,0
61, 48076, 513, 54, 00, 3,  0xbbcc,59,1,0
61, 48110, 889, 54, 00, 4,  0xbbee,63,1,0
62, 48093, 486, 54, 01, 1,  0xbbdd,21,2,0
62, 52292, 71, 54, 01, 2,  0xcc44,16,3,0
62, 48127, 664, 54, 01, 3,  0xbbff,48,1,0
62, 52258, 840, 54, 01, 4,  0xcc22,22,2,1
62, 52241, 1265, 54, 01, 5,  0xcc11,27,2,0
62, 48076, 491, 54, 01, 6,  0xbbcc,60,1,0
62, 48110, 876, 54, 01, 7,  0xbbee,64,1,0
63, 48127, 684, 54, 02, 1,  0xbbff,49,1,0
63, 48076, 502, 54, 02, 2,  0xbbcc,61,1,0
63, 48110, 855, 54, 02, 3,  0xbbee,65,1,0
64, 48093, 484, 54, 03, 1,  0xbbdd,22,2,0
64, 52275, 208, 54, 03, 2,  0xcc33,12,4,0
64, 48127, 687, 54, 03, 3,  0xbbff,50,1,0
64, 52258, 837, 54, 03, 4,  0xcc22,23,2,1
64, 52241, 1279, 54, 03, 5,  0xcc11,28,2,0
64, 48042, 927, 54, 03, 6,  0xbbaa,21,3,0
64, 48076, 505, 54, 03, 7,  0xbbcc,62,1,0
64, 48110, 842, 54, 03, 8,  0xbbee,66,1,0
65, 52292, 67, 54, 04, 1,  0xcc44,17,3,0
65, 48127, 693, 54, 04, 2,  0xbbff,51,1,0
65, 48076, 502, 54, 04, 3,  0xbbcc,63,1,0
65, 48110, 829, 54, 04, 4,  0xbbee,67,1,0
66, 48093, 484, 54, 05, 1,  0xbbdd,23,2,0
66, 48127, 704, 54, 05, 2,  0xbbff,52,1,0
66, 52258, 832, 54, 05, 3,  0xcc22,24,2,1
66, 52241, 1304, 54, 05, 4,  0xcc11,29,2,0
66, 48076, 502, 54, 05, 5,  0xbbcc,64,1,0
66, 48110, 806, 54, 05, 6,  0xbbee,68,1,0
67, 48127, 723, 54, 06, 1,  0xbbff,53,1,0
67, 48042, 930, 54, 06, 2,  0xbbaa,22,3,0
67, 48076, 495, 54, 06, 3,  0xbbcc,65,1,0
67, 48110, 799, 54, 06, 4,  0xbbee,69,1,0
68, 48093, 482, 54, 07, 1,  0xbbdd,24,2,0
68, 52275, 212, 54, 07, 2,  0xcc33,13,4,0
68, 52292, 68, 54, 07, 3,  0xcc44,18,3,0
68, 48127, 735, 54, 07, 4,  0xbbff,54,1,0
68, 52258, 839, 54, 07, 5,  0xcc22,25,2,1
68, 52241, 1301, 54, 07, 6,  0xcc11,30,2,0
68, 48076, 506, 54, 07, 7,  0xbbcc,66,1,0
68, 48110, 786, 54, 07, 8,  0xbbee,70,1,0
69, 48127, 744, 54, 08, 1,  0xbbff,55,1,0
69, 48076, 506, 54, 08, 2,  0xbbcc,67,1,0
69, 48110, 768, 54, 08, 3,  0xbbee,71,1,0
70, 48093, 487, 54, 09, 1,  0xbbdd,25,2,0
70, 48127, 756, 54, 09, 2,  0xbbff,56,1,0
70, 52258, 833, 54, 09, 3,  0xcc22,26,2,1
70, 52241, 1330, 54, 09, 4,  0xcc11,31,2,0
70, 48042, 931, 54, 09, 5,  0xbbaa,23,3,0
70, 48076, 495, 54, 09, 6,  0xbbcc,68,1,0
70, 48110, 749, 54, 09, 7,  0xbbee,72,1,0
71, 52292, 70, 54, 10, 1,  0xcc44,19,3,0
71, 48127, 761, 54, 10, 2,  0xbbff,57,1,0
71, 48076, 499, 54, 10, 3,  0xbbcc,69,1,0
71, 48110, 737, 54, 10, 4,  0xbbee,73,1,0
72, 48093, 485, 54, 11, 1,  0xbbdd,26,2,0
72, 52275, 207, 54, 11, 2,  0xcc33,14,4,0
72, 48127, 768, 54, 11, 3,  0xbbff,58,1,0
72, 52258, 840, 54, 11, 4,  0xcc22,27,2,1
72, 52241, 1341, 54, 11, 5,  0xcc11,32,2,0
72, 48076, 496, 54, 11, 6,  0xbbcc,70,1,0
72, 48110, 719, 54, 11, 7,  0xbbee,74,1,0
73, 48127, 778, 54, 12, 1,  0xbbff,59,1,0
73, 48042, 934, 54, 12, 2,  0xbbaa,24,3,0
73, 48076, 503, 54, 12, 3,  0xbbcc,71,1,0
73, 48110, 705, 54, 12, 4,  0xbbee,75,1,0
74, 48093, 484, 54, 13, 1,  0xbbdd,27,2,0
74, 52292, 72, 54, 13, 2,  0xcc44,20,3,0
74, 48127, 771, 54, 13, 3,  0xbbff,60,1,0
74, 52258, 843, 54, 13, 4,  0xcc22,28,2,1
74, 52241, 1357, 54, 13, 5,  0xcc11,33,2,0
74, 48076, 499, 54, 13, 6,  0xbbcc,72,1,0
74, 48110, 693, 54, 13, 7,  0xbbee,76,1,0
75, 48127, 797, 54, 14, 1,  0xbbff,61,1,0
75, 48076, 511, 54, 14, 2,  0xbbcc,73,1,0
75, 48110, 678, 54, 14, 3,  0xbbee,77,1,0
76, 48093, 481, 54, 15, 1,  0xbbdd,28,2,0
76, 52275, 206, 54, 15, 2,  0xcc33,15,4,0
76, 48127, 799, 54, 15, 3,  0xbbff,62,1,0
76, 52241, 1372, 54, 15, 4,  0xcc11,34,2,0
76, 48042, 921, 54, 15, 5,  0xbbaa,25,3,0
76, 48076, 510, 54, 15, 6,  0xbbcc,74,1,0
76, 48110, 656, 54, 15, 7,  0xbbee,78,1,0
77, 52292, 70, 54, 16, 1,  0xcc44,21,3,0
77, 48127, 806, 54, 16, 2,  0xbbff,63,1,0
77, 48076, 496, 54, 16, 3,  0xbbcc,75,1,0
77, 48110, 646, 54, 16, 4,  0xbbee,79,1,0
78, 48093, 482, 54, 17, 1,  0xbbdd,29,2,0
78, 48127, 826, 54, 17, 2,  0xbbff,64,1,0
78, 52241, 1389, 54, 17, 3,  0xcc11,35,2,0
78, 48076, 509, 54, 17, 4,  0xbbcc,76,1,0
78, 48110, 628, 54, 17, 5,  0xbbee,80,1,0
79, 48127, 837, 54, 18, 1,  0xbbff,65,1,0
79, 48042, 931, 54, 18, 2,  0xbbaa,26,3,0
79, 48076, 504, 54, 18, 3,  0xbbcc,77,1,0
79, 48110, 615, 54, 18, 4,  0xbbee,81,1,0
80, 48093, 493, 54, 19, 1,  0xbbdd,30,2,0
80, 52275, 212, 54, 19, 2,  0xcc33,16,4,0
80, 52292, 66, 54, 19, 3,  0xcc44,22,3,0
80, 48127, 862, 54, 19, 4,  0xbbff,66,1,0
80, 52258, 836, 54, 19, 5,  0xcc22,29,2,1
80, 52241, 1398, 54, 19, 6,  0xcc11,36,2,0
80, 48076, 511, 54, 19, 7,  0xbbcc,78,1,0
80, 48110, 597, 54, 19, 8,  0xbbee,82,1,0
81, 48127, 864, 54, 20, 1,  0xbbff,67,1,0
81, 48076, 510, 54, 20, 2,  0xbbcc,79,1,0
81, 48110, 579, 54, 20, 3,  0xbbee,83,1,0
82, 48093, 484, 54, 21, 1,  0xbbdd,31,2,0
82, 48127, 872, 54, 21, 2,  0xbbff,68,1,0
82, 52258, 839, 54, 21, 3,  0xcc22,30,2,1
82, 52241, 1421, 54, 21, 4,  0xcc11,37,2,0
82, 48042, 932, 54, 21, 5,  0xbbaa,27,3,0
82, 48076, 504, 54, 21, 6,  0xbbcc,80,1,0
82, 48110, 570, 54, 21, 7,  0xbbee,84,1,0
83, 52292, 69, 54, 22, 1,  0xcc44,23,3,0
83, 48127, 880, 54, 22, 2,  0xbbff,69,1,0
83, 48076, 512, 54, 22, 3,  0xbbcc,81,1,0
83, 48110, 559, 54, 22, 4,  0xbbee,85,1,0
84, 48093, 483, 54, 23, 1,  0xbbdd,32,2,0
84, 52275, 208, 54, 23, 2,  0xcc33,17,4,0
84, 48127, 883, 54, 23, 3,  0xbbff,70,1,0
84, 52258, 839, 54, 23, 4,  0xcc22,31,2,1
84, 52241, 1422, 54, 23, 5,  0xcc11,38,2,0
84, 48076, 499, 54, 23, 6,  0xbbcc,82,1,0
84, 48110, 539, 54, 23, 7,  0xbbee,86,1,0
85, 48127, 903, 54, 24, 1,  0xbbff,71,1,0
85, 48042, 932, 54, 24, 2,  0xbbaa,28,3,0
85, 48076, 506, 54, 24, 3,  0xbbcc,83,1,0
85, 48110, 521, 54, 24, 4,  0xbbee,87,1,0
86, 48093, 486, 54, 25, 1,  0xbbdd,33,2,0
86, 52292, 63, 54, 25, 2,  0xcc44,24,3,0
86, 48127, 900, 54, 25, 3,  0xbbff,72,1,0
86, 52258, 843, 54, 25, 4,  0xcc22,32,2,1
86, 52241, 1440, 54, 25, 5,  0xcc11,39,2,0
86, 48076, 508, 54, 25, 6,  0xbbcc,84,1,0
86, 48110, 515, 54, 25, 7,  0xbbee,88,1,0
87, 48127, 924, 54, 26, 1,  0xbbff,73,1,0
87, 48076, 510, 54, 26, 2,  0xbbcc,85,1,0
87, 48110, 492, 54, 26, 3,  0xbbee,89,1,0
88, 48093, 478, 54, 27, 1,  0xbbdd,34,2,0
88, 52275, 211, 54, 27, 2,  0xcc33,18,4,0
88, 48127, 927, 54, 27, 3,  0xbbff,74,1,0
88, 52258, 842, 54, 27, 4,  0xcc22,33,2,1
88, 52241, 1459, 54, 27, 5,  0xcc11,40,2,0
88, 48042, 922, 54, 27, 6,  0xbbaa,29,3,0
88, 48076, 512, 54, 27, 7,  0xbbcc,86,1,0
88, 48110, 481, 54, 27, 8,  0xbbee,90,1,0
89, 52292, 67, 54, 28, 1,  0xcc44,25,3,0
89, 48127, 931, 54, 28, 2,  0xbbff,75,1,0
89, 48076, 503, 54, 28, 3,  0xbbcc,87,1,0
89, 48110, 465, 54, 28, 4,  0xbbee,91,1,0
90, 48093, 482, 54, 29, 1,  0xbbdd,35,2,0
90, 48127, 951, 54, 29, 2,  0xbbff,76,1,0
90, 52258, 831, 54, 29, 3,  0xcc22,34,2,1
90, 52241, 1478, 54, 29, 4,  0xcc11,41,2,0
90, 48076, 510, 54, 29, 5,  0xbbcc,88,1,0
90, 48110, 457, 54, 29, 6,  0xbbee,92,1,0
91, 48127, 967, 54, 30, 1,  0xbbff,77,1,0
91, 48042, 926, 54, 30, 2,  0xbbaa,30,3,0
91, 48076, 506, 54, 30, 3,  0xbbcc,89,1,0
91, 48110, 439, 54, 30, 4,  0xbbee,93,1,0
92, 48093, 481, 54, 31, 1,  0xbbdd,36,2,0
92, 52275, 209, 54, 31, 2,  0xcc33,19,4,0
92, 52292, 63, 54, 31, 3,  0xcc44,26,3,0
92, 48127, 974, 54, 31, 4,  0xbbff,78,1,0
92, 52258, 840, 54, 31, 5,  0xcc22,35,2,1
92, 52241, 1490, 54, 31, 6,  0xcc11,42,2,0
92, 48076, 512, 54, 31, 7,  0xbbcc,90,1,0
92, 48110, 424, 54, 31, 8,  0xbbee,94,1,0
93, 48127, 978, 54, 32, 1,  0xbbff,79,1,0
