min, sec, tag_id, distance,times, interval,  absence
56,11,0xbbff,319,52,1,2

56,11,0xcc11,320,2,1,0
56,11,0xbbee,217,29,1,4
56,11,0xcc33,308,42,1,2

56,12,0xcc11,314,3,1,0
56,12,0xbbee,214,30,1,4
56,12,0xcc66,215,55,1,0
56,12,0xbbff,324,53,1,2

56,13,0xcc11,326,4,1,0
56,13,0xbbee,218,31,1,4
56,13,0xcc33,309,43,1,3
56,13,0xcc66,217,56,1,0
56,13,0xbbff,316,54,1,2

56,15,0xcc11,313,5,1,0
56,15,0xcc33,318,44,1,3
56,15,0xcc66,212,57,1,0

56,15,0xcc11,324,6,1,0
56,15,0xbbee,220,32,1,5
56,15,0xcc33,307,45,1,3
56,15,0xcc66,211,58,1,0
56,15,0xbbff,318,55,1,2

56,16,0xcc11,321,7,1,0
56,16,0xbbee,219,33,1,5
56,16,0xcc33,314,46,1,3
56,16,0xcc66,214,59,1,0
56,16,0xbbff,316,56,1,2

56,17,0xbbdd,350,1,1,0
56,17,0xcc11,311,8,1,0
56,17,0xbbee,212,34,1,5
56,17,0xcc33,328,47,1,3
56,17,0xcc66,212,60,1,0

56,18,0xbbdd,340,2,1,0
56,18,0xcc11,314,9,1,0
56,18,0xbbee,208,35,1,5
56,18,0xcc33,331,48,1,3
56,18,0xcc66,209,61,1,0

56,19,0xbbdd,350,3,1,0
56,19,0xcc11,317,10,1,0
56,19,0xcc33,327,49,1,3
56,19,0xcc66,212,62,1,0

56,20,0xbbdd,342,4,1,0
56,20,0xcc11,317,11,1,0
56,20,0xbbee,210,36,1,5
56,20,0xcc33,330,50,1,3
56,20,0xcc66,210,63,1,0
56,20,0xbbff,319,57,1,2

56,21,0xbbdd,339,5,1,0
56,21,0xcc11,310,12,1,0
56,21,0xbbee,211,37,1,5
56,21,0xcc33,328,51,1,3
56,21,0xcc66,210,64,1,0
56,21,0xbbff,316,58,1,2

56,22,0xbbdd,341,6,1,0
56,22,0xcc11,314,13,1,0
56,22,0xbbee,212,38,1,5
56,22,0xcc33,329,52,1,3
56,22,0xcc66,208,65,1,0
56,22,0xbbff,318,59,1,2

56,23,0xbbdd,341,7,1,0
56,23,0xcc11,311,14,1,0
56,23,0xbbee,207,39,1,5
56,23,0xcc33,325,53,1,3
56,23,0xcc66,212,66,1,0
56,23,0xbbff,312,60,1,2

56,24,0xcc22,216,1,1,0
56,24,0xbbdd,342,8,1,0
56,24,0xcc11,305,15,1,0
56,24,0xbbee,224,40,1,5
56,24,0xcc33,320,54,1,3
56,24,0xcc66,204,67,1,0
56,24,0xbbff,324,61,1,2

56,25,0xcc22,222,2,1,0
56,25,0xbbdd,336,9,1,0
56,25,0xcc11,305,16,1,0
56,25,0xbbee,224,41,1,5
56,25,0xcc33,322,55,1,3
56,25,0xcc66,198,68,1,0
56,25,0xbbff,318,62,1,2

56,26,0xcc22,219,3,1,0
56,26,0xbbdd,336,10,1,0
56,26,0xcc11,304,17,1,0
56,26,0xbbee,227,42,1,5
56,26,0xcc33,316,56,1,3
56,26,0xcc66,205,69,1,0
56,26,0xbbff,318,63,1,2

56,27,0xcc22,219,4,1,0
56,27,0xbbdd,338,11,1,0
56,27,0xcc11,304,18,1,0
56,27,0xbbee,226,43,1,5
56,27,0xcc33,316,57,1,3
56,27,0xcc66,202,70,1,0
56,27,0xbbff,319,64,1,2

56,28,0xcc22,216,5,1,0
56,28,0xbbdd,340,12,1,0
56,28,0xcc11,305,19,1,0
56,28,0xbbee,224,44,1,5
56,28,0xcc33,325,58,1,3
56,28,0xcc66,205,71,1,0
56,28,0xbbff,322,65,1,2

56,29,0xcc22,225,6,1,0
56,29,0xbbdd,339,13,1,0
56,29,0xcc11,303,20,1,0
56,29,0xbbee,225,45,1,5
56,29,0xcc33,318,59,1,3
56,29,0xcc66,200,72,1,0
56,29,0xbbff,321,66,1,2

56,30,0xcc22,226,7,1,0
56,30,0xbbdd,339,14,1,0
56,30,0xcc11,307,21,1,0
56,30,0xbbee,223,46,1,5
56,30,0xcc33,324,60,1,3
56,30,0xcc66,201,73,1,0
56,30,0xbbff,320,67,1,2

56,31,0xcc22,218,8,1,0
56,31,0xbbdd,343,15,1,0
56,31,0xcc11,307,22,1,0
56,31,0xbbee,224,47,1,5
56,31,0xcc33,319,61,1,3
56,31,0xcc66,197,74,1,0
56,31,0xbbff,324,68,1,2

56,32,0xcc22,219,9,1,0
56,32,0xbbdd,342,16,1,0
56,32,0xcc11,306,23,1,0
56,32,0xbbee,227,48,1,5
