index, min, sec, tag_id, distance, times, interval, absence
3,35,27,52258,494,2,190,1

1,35,27,48110,378,1,372,3
2,35,27,48093,454,2,191,0
3,35,27,52241,561,2,190,0
4,35,27,48127,554,1,382,0

1,35,28,48110,385,1,373,3
2,35,28,48127,578,1,383,0
3,35,28,52258,505,2,191,1

1,35,29,52275,241,4,77,0
2,35,29,48110,394,1,374,3
3,35,29,48093,451,2,192,0
4,35,29,48076,227,4,97,0
5,35,29,52241,560,2,191,0
6,35,29,48127,578,1,384,0

1,35,30,48110,408,1,375,3
2,35,30,48127,593,1,385,0
3,35,30,52258,491,2,192,1

1,35,31,52326,193,3,90,21
2,35,31,48110,413,1,376,3
3,35,31,48093,447,2,193,0
4,35,31,52241,571,2,192,0
5,35,31,48127,601,1,386,0

1,35,32,48110,429,1,377,3
2,35,32,48127,618,1,387,0
3,35,32,52258,502,2,193,1

1,35,33,52275,230,4,78,0
2,35,33,48110,437,1,378,3
3,35,33,48093,451,2,194,0
4,35,33,48076,216,4,98,0
5,35,33,52241,569,2,193,0
6,35,33,48127,621,1,388,0

1,35,34,48110,438,1,379,3
2,35,34,48127,644,1,389,0
3,35,34,52258,499,2,194,1

1,35,35,48110,460,1,380,3
2,35,35,48093,453,2,195,0
3,35,35,52241,591,2,194,0
4,35,35,48127,648,1,390,0

1,35,36,48110,469,1,381,3
2,35,36,48127,652,1,391,0
3,35,36,52258,491,2,195,1

1,35,37,52275,230,4,79,0
2,35,37,48110,476,1,382,3
3,35,37,48093,450,2,196,0
4,35,37,48076,219,4,99,0
5,35,37,52241,575,2,195,0
6,35,37,48127,673,1,392,0

1,35,38,48110,495,1,383,3
2,35,38,48127,678,1,393,0
3,35,38,52258,494,2,196,1

1,35,39,48110,496,1,384,3
2,35,39,48093,451,2,197,0
3,35,39,52241,560,2,196,0
4,35,39,48127,684,1,394,0

1,35,40,52326,170,3,91,23
2,35,40,48110,501,1,385,3
3,35,40,48127,693,1,395,0
4,35,40,52258,487,2,197,1

1,35,41,52275,244,4,80,0
2,35,41,48110,515,1,386,3
3,35,41,48093,453,2,198,0
4,35,41,48076,257,4,100,0
5,35,41,52241,562,2,197,0
6,35,41,48127,710,1,396,0

1,35,42,48110,529,1,387,3
2,35,42,48127,712,1,397,0
3,35,42,52258,491,2,198,1

1,35,43,52326,233,3,92,23
2,35,43,48110,542,1,388,3
3,35,43,48093,445,2,199,0
4,35,43,52241,568,2,198,0
5,35,43,48127,732,1,398,0

1,35,44,48110,553,1,389,3
2,35,44,48127,737,1,399,0
3,35,44,52258,492,2,199,1

1,35,45,52275,243,4,81,0
2,35,45,48110,554,1,390,3
3,35,45,48093,446,2,200,0
4,35,45,48076,232,4,101,0
5,35,45,52241,566,2,199,0
6,35,45,48127,742,1,400,0

1,35,47,48110,556,1,391,3
2,35,47,48127,742,1,401,0
3,35,47,52258,498,2,200,1

1,35,51,48110,578,1,392,3
2,35,51,48093,450,2,201,0
3,35,51,52241,559,2,200,0
4,35,51,48127,761,1,402,0

1,35,52,48110,590,1,393,3
2,35,52,48127,776,1,403,0
3,35,52,52258,489,2,201,1

1,35,53,52275,230,4,82,0
2,35,53,52326,184,3,93,23
3,35,53,48110,585,1,394,3
4,35,53,48093,454,2,202,0
5,35,53,48076,255,4,102,0
6,35,53,52241,565,2,201,0
7,35,53,48127,778,1,404,0

1,35,53,48110,604,1,395,3
2,35,53,48127,787,1,405,0
3,35,53,52258,488,2,202,1

1,35,53,48110,619,1,396,3
2,35,53,48093,447,2,203,0
3,35,53,52241,568,2,202,0
4,35,53,48127,795,1,406,0

1,35,53,48110,633,1,397,3
2,35,53,48127,810,1,407,0
3,35,53,52258,493,2,203,1

1,35,54,52275,234,4,83,0
2,35,54,48110,631,1,398,3
3,35,54,48093,442,2,204,0
4,35,54,48076,218,4,103,0
5,35,54,52241,568,2,203,0
6,35,54,48127,829,1,408,0

1,35,54,52275,234,4,83,0
2,35,54,48110,631,1,398,3
3,35,54,48093,442,2,204,0

1,35,55,48110,642,1,400,3
2,35,55,48093,441,2,205,0
3,35,55,52241,564,2,204,0
4,35,55,48127,859,1,410,0

1,35,56,48110,666,1,401,3
2,35,56,48127,848,1,411,0
3,35,56,52258,488,2,205,1

1,35,57,52275,227,4,84,0
2,35,57,48110,668,1,402,3
3,35,57,48093,450,2,206,0
4,35,57,48076,218,4,104,0
5,35,57,52241,560,2,205,0
6,35,57,48127,867,1,412,0

